starttime	seconds	ctime	dtime	ttime	wait
Tue Dec 19 14:01:34 2017	1513688494	1	6	7	5
Tue Dec 19 14:01:34 2017	1513688494	1	10	11	9
Tue Dec 19 14:01:34 2017	1513688494	1	13	14	13
Tue Dec 19 14:01:34 2017	1513688494	1	15	16	14
Tue Dec 19 14:01:34 2017	1513688494	0	16	16	15
Tue Dec 19 14:01:34 2017	1513688494	0	16	16	15
Tue Dec 19 14:01:34 2017	1513688494	0	16	16	16
Tue Dec 19 14:01:34 2017	1513688494	0	17	17	17
Tue Dec 19 14:01:34 2017	1513688494	0	17	18	17
Tue Dec 19 14:01:34 2017	1513688494	0	18	18	17
Tue Dec 19 14:01:34 2017	1513688494	1	18	18	16
Tue Dec 19 14:01:34 2017	1513688494	0	18	19	18
Tue Dec 19 14:01:34 2017	1513688494	0	18	19	18
Tue Dec 19 14:01:34 2017	1513688494	0	19	19	18
Tue Dec 19 14:01:34 2017	1513688494	0	19	19	18
Tue Dec 19 14:01:34 2017	1513688494	1	19	19	18
Tue Dec 19 14:01:34 2017	1513688494	0	20	20	20
Tue Dec 19 14:01:34 2017	1513688494	1	20	21	19
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	20
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	20
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	20
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	20
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	20
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	20
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	20
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	20
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	20
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	21
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	20
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	21
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	21
Tue Dec 19 14:01:34 2017	1513688494	0	21	21	21
Tue Dec 19 14:01:34 2017	1513688494	0	21	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	21	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	21	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	21	22	16
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	22
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	0	22	22	21
Tue Dec 19 14:01:34 2017	1513688494	1	21	22	20
